"to_date","emp_no","title","first_name","last_name","to_date-2","from_date","birth_date"
"9999-01-01",29418,"Assistant Engineer","Valery","Mersereau","1999-07-01","1998-07-01","1965-01-22"
"9999-01-01",29679,"Senior Engineer","Kolar","Steenbeek","1987-10-18","1986-10-18","1965-01-17"
"9999-01-01",29782,"Senior Engineer","Jouko","Hellwagner","1995-12-21","1994-12-21","1965-01-29"
"9999-01-01",29954,"Senior Engineer","Pranay","Giarratana","1993-09-29","1992-09-29","1965-01-27"
"9999-01-01",30007,"Senior Engineer","Kousuke","Vecchio","1991-02-23","1990-02-23","1965-01-24"
"9999-01-01",30007,"Engineer","Kousuke","Vecchio","1991-02-23","1990-02-23","1965-01-24"
"9999-01-01",30035,"Senior Staff","Tetsushi","Conta","1996-07-03","1995-07-04","1965-01-08"
"9999-01-01",30154,"Technique Leader","Mayuko","Skafidas","2000-04-18","1999-04-19","1965-01-26"
"9999-01-01",30182,"Senior Engineer","Leon","Potthoff","1986-12-08","1985-12-08","1965-01-26"
"9999-01-01",30182,"Engineer","Leon","Potthoff","1986-12-08","1985-12-08","1965-01-26"
"9999-01-01",30465,"Senior Engineer","Randi","Avouris","1987-07-16","1986-07-16","1965-01-28"
"9999-01-01",30465,"Engineer","Randi","Avouris","1987-07-16","1986-07-16","1965-01-28"
"9999-01-01",30484,"Staff","Sailaja","Chvatal","2000-05-17","1999-05-18","1965-01-11"
"9999-01-01",30695,"Senior Engineer","Gudjon","Majewski","2000-10-25","1999-10-26","1965-01-08"
"9999-01-01",30938,"Staff","Yakkov","Samarati","1996-05-22","1995-05-23","1965-01-06"
"9999-01-01",30938,"Senior Staff","Yakkov","Samarati","1996-05-22","1995-05-23","1965-01-06"
"9999-01-01",31147,"Senior Staff","Divine","Sidhu","1990-07-05","1989-07-05","1965-01-04"
"9999-01-01",31188,"Technique Leader","Leandro","Gist","1994-02-03","1993-02-03","1965-01-12"
"9999-01-01",31207,"Senior Engineer","Abdelwaheb","Dulin","1994-08-05","1993-08-05","1965-01-30"
"9999-01-01",31341,"Staff","Oksana","Zultner","1992-03-22","1991-03-23","1965-01-01"
"9999-01-01",31341,"Senior Staff","Oksana","Zultner","1992-03-22","1991-03-23","1965-01-01"
"9999-01-01",31514,"Senior Engineer","Harngdar","Schapire","1997-11-09","1996-11-09","1965-01-13"
"9999-01-01",31514,"Engineer","Harngdar","Schapire","1997-11-09","1996-11-09","1965-01-13"
"9999-01-01",31568,"Staff","Mark","Lalonde","1997-11-24","1996-11-24","1965-01-10"
"9999-01-01",31909,"Engineer","Murthy","Peek","1995-07-19","1994-07-19","1965-01-10"
"9999-01-01",32347,"Staff","Terresa","Peres","1991-09-15","1990-09-15","1965-01-08"
"9999-01-01",32347,"Senior Staff","Terresa","Peres","1991-09-15","1990-09-15","1965-01-08"
"9999-01-01",32552,"Engineer","Atreye","Stanger","1994-09-10","1993-09-10","1965-01-17"
"9999-01-01",32552,"Assistant Engineer","Atreye","Stanger","1994-09-10","1993-09-10","1965-01-17"
"9999-01-01",32649,"Senior Staff","Ingmar","Nannarelli","1989-06-10","1988-06-10","1965-01-12"
"9999-01-01",32714,"Staff","Radoslaw","Maliniak","1998-11-17","1997-11-17","1965-01-16"
"9999-01-01",32844,"Engineer","Tadahiko","Melton","1996-01-07","1995-01-07","1965-01-23"
"9999-01-01",33025,"Senior Staff","Jessie","Thorelli","2000-12-15","1999-12-16","1965-01-12"
"9999-01-01",33215,"Technique Leader","Steen","Fasbender","1994-02-14","1993-02-14","1965-01-29"
"9999-01-01",33722,"Senior Engineer","Anwar","Collette","1995-03-22","1994-03-22","1965-01-15"
"9999-01-01",34077,"Staff","Angel","Sichman","1989-11-16","1988-11-16","1965-01-08"
"9999-01-01",34077,"Senior Staff","Angel","Sichman","1989-11-16","1988-11-16","1965-01-08"
"9999-01-01",34261,"Staff","Kyoichi","Callaway","1991-12-30","1990-12-30","1965-01-05"
"9999-01-01",34261,"Senior Staff","Kyoichi","Callaway","1991-12-30","1990-12-30","1965-01-05"
"9999-01-01",34446,"Senior Engineer","Chinhyun","Bauknecht","1987-12-19","1986-12-19","1965-01-31"
"9999-01-01",34452,"Senior Engineer","Naftaly","Foong","1992-05-09","1991-05-10","1965-01-08"
"9999-01-01",34452,"Engineer","Naftaly","Foong","1992-05-09","1991-05-10","1965-01-08"
"9999-01-01",34505,"Staff","Felicidad","Kumaresan","1995-09-06","1994-09-06","1965-01-28"
"9999-01-01",34505,"Senior Staff","Felicidad","Kumaresan","1995-09-06","1994-09-06","1965-01-28"
"9999-01-01",34533,"Senior Engineer","Erzsebet","Shigei","1992-01-21","1991-01-21","1965-01-10"
"9999-01-01",34780,"Staff","Moni","Kohling","1995-07-21","1994-07-21","1965-01-16"
"9999-01-01",34788,"Senior Engineer","Ennio","Babu","1995-08-31","1994-08-31","1965-01-27"
"9999-01-01",34936,"Technique Leader","Bokyung","Stamatiou","1992-02-12","1991-02-12","1965-01-12"
"9999-01-01",35044,"Senior Engineer","Jiang","Waschkowski","1990-05-27","1989-05-27","1965-01-04"
"9999-01-01",35044,"Engineer","Jiang","Waschkowski","1990-05-27","1989-05-27","1965-01-04"
"9999-01-01",35087,"Staff","Leif","Ashish","1995-10-14","1994-10-14","1965-01-17"
"9999-01-01",35087,"Senior Staff","Leif","Ashish","1995-10-14","1994-10-14","1965-01-17"
"9999-01-01",35441,"Senior Engineer","Chandrasekaran","Peek","1989-02-06","1988-02-07","1965-01-31"
"9999-01-01",35441,"Engineer","Chandrasekaran","Peek","1989-02-06","1988-02-07","1965-01-31"
"9999-01-01",35642,"Senior Engineer","Ashish","Talmon","1996-06-12","1995-06-13","1965-01-30"
"9999-01-01",35642,"Engineer","Ashish","Talmon","1996-06-12","1995-06-13","1965-01-30"
"9999-01-01",36521,"Staff","Serif","Gladwell","1988-03-05","1987-03-06","1965-01-21"
"9999-01-01",36521,"Senior Staff","Serif","Gladwell","1988-03-05","1987-03-06","1965-01-21"
"9999-01-01",36626,"Senior Staff","Fen","Genin","1987-05-09","1986-05-09","1965-01-02"
"9999-01-01",36733,"Staff","Uma","Reinhard","1998-11-01","1997-11-01","1965-01-04"
"9999-01-01",36844,"Staff","Hailing","Levergood","2001-01-11","2000-01-12","1965-01-01"
"9999-01-01",36982,"Senior Engineer","Kotesh","Rajala","1993-06-23","1992-06-23","1965-01-22"
"9999-01-01",36982,"Engineer","Kotesh","Rajala","1993-06-23","1992-06-23","1965-01-22"
"9999-01-01",37070,"Staff","Jeong","Undy","1986-02-13","1985-02-13","1965-01-22"
"9999-01-01",37070,"Senior Staff","Jeong","Undy","1986-02-13","1985-02-13","1965-01-22"
"9999-01-01",37945,"Senior Engineer","Suzette","Butterworth","1995-02-19","1994-02-19","1965-01-02"
"9999-01-01",38043,"Senior Engineer","Michaela","Randi","1986-11-23","1985-11-23","1965-01-05"
"9999-01-01",38043,"Engineer","Michaela","Randi","1986-11-23","1985-11-23","1965-01-05"
"9999-01-01",38103,"Senior Engineer","Masasuke","Babu","1989-03-31","1988-03-31","1965-01-12"
"9999-01-01",38103,"Engineer","Masasuke","Babu","1989-03-31","1988-03-31","1965-01-12"
"9999-01-01",38168,"Staff","Fumiko","Deverell","1988-08-14","1987-08-15","1965-01-14"
"9999-01-01",38168,"Senior Staff","Fumiko","Deverell","1988-08-14","1987-08-15","1965-01-14"
"9999-01-01",38550,"Senior Engineer","JoAnne","Baez","1988-02-16","1987-02-16","1965-01-14"
"9999-01-01",38593,"Senior Engineer","Huei","Orsini","1987-06-04","1986-06-04","1965-01-14"
"9999-01-01",38593,"Engineer","Huei","Orsini","1987-06-04","1986-06-04","1965-01-14"
"9999-01-01",38947,"Staff","Shuichi","Ruemmler","1992-03-07","1991-03-08","1965-01-25"
"9999-01-01",38947,"Senior Staff","Shuichi","Ruemmler","1992-03-07","1991-03-08","1965-01-25"
"9999-01-01",39000,"Staff","Martijn","Vendrig","1998-03-03","1997-03-03","1965-01-08"
"9999-01-01",39000,"Senior Staff","Martijn","Vendrig","1998-03-03","1997-03-03","1965-01-08"
"9999-01-01",39036,"Staff","Changho","Cappelli","1997-05-04","1996-05-04","1965-01-08"
"9999-01-01",39301,"Staff","Rimon","Kawashima","1993-02-05","1992-02-06","1965-01-07"
"9999-01-01",39301,"Senior Staff","Rimon","Kawashima","1993-02-05","1992-02-06","1965-01-07"
"9999-01-01",39341,"Senior Engineer","Mahmut","Lampe","1986-05-11","1985-05-11","1965-01-01"
"9999-01-01",39341,"Engineer","Mahmut","Lampe","1986-05-11","1985-05-11","1965-01-01"
"9999-01-01",39952,"Staff","Otmar","Sudbeck","1999-07-22","1998-07-22","1965-01-02"
"9999-01-01",40269,"Staff","Toshiki","Ghazalie","1992-12-04","1991-12-05","1965-01-10"
"9999-01-01",40269,"Senior Staff","Toshiki","Ghazalie","1992-12-04","1991-12-05","1965-01-10"
"9999-01-01",40283,"Senior Engineer","Sudhanshu","Boissier","1986-05-11","1985-05-11","1965-01-07"
"9999-01-01",40283,"Engineer","Sudhanshu","Boissier","1986-05-11","1985-05-11","1965-01-07"
"9999-01-01",40301,"Senior Engineer","Spyrose","Felder","1997-06-16","1996-06-16","1965-01-20"
"9999-01-01",40536,"Senior Engineer","Harngdar","Bernardinello","1989-02-28","1988-02-29","1965-01-20"
"9999-01-01",40536,"Engineer","Harngdar","Bernardinello","1989-02-28","1988-02-29","1965-01-20"
"9999-01-01",40765,"Staff","Michaela","Ramsak","1993-12-21","1992-12-21","1965-01-01"
"9999-01-01",40765,"Senior Staff","Michaela","Ramsak","1993-12-21","1992-12-21","1965-01-01"
"9999-01-01",40773,"Staff","Shimshon","Aingworth","1987-04-13","1986-04-13","1965-01-09"
"9999-01-01",40773,"Senior Staff","Shimshon","Aingworth","1987-04-13","1986-04-13","1965-01-09"
"9999-01-01",40983,"Technique Leader","Marla","Cherinka","1987-12-01","1986-12-01","1965-01-17"
"9999-01-01",41114,"Technique Leader","Petter","Thummel","1996-12-23","1995-12-24","1965-01-25"
"9999-01-01",41137,"Staff","Bikash","Buchter","1988-11-22","1987-11-23","1965-01-20"
"9999-01-01",41137,"Senior Staff","Bikash","Buchter","1988-11-22","1987-11-23","1965-01-20"
"9999-01-01",41357,"Engineer","Willard","Vernadat","1998-03-04","1997-03-04","1965-01-06"
"9999-01-01",41518,"Senior Engineer","Keung","Schapiro","1999-04-19","1998-04-19","1965-01-11"
"9999-01-01",41520,"Senior Engineer","Xiong","Uhrik","1989-03-21","1988-03-21","1965-01-20"
"9999-01-01",41609,"Senior Staff","Yucai","Simmen","1988-10-12","1987-10-13","1965-01-04"
"9999-01-01",42778,"Staff","Shuji","Remmers","1988-12-17","1987-12-18","1965-01-19"
"9999-01-01",42778,"Senior Staff","Shuji","Remmers","1988-12-17","1987-12-18","1965-01-19"
"9999-01-01",42911,"Senior Engineer","Brigham","Eterovic","1995-10-08","1994-10-08","1965-01-29"
"9999-01-01",35793,"Staff","Oscar","Kusalik","1992-05-10","1991-05-11","1965-01-01"
"9999-01-01",35793,"Senior Staff","Oscar","Kusalik","1992-05-10","1991-05-11","1965-01-01"
"9999-01-01",35798,"Senior Engineer","Ulf","Oberman","1998-03-15","1997-03-15","1965-01-29"
"9999-01-01",42911,"Engineer","Brigham","Eterovic","1995-10-08","1994-10-08","1965-01-29"
"9999-01-01",43154,"Staff","Maha","Waterhouse","1998-07-04","1997-07-04","1965-01-13"
"9999-01-01",42950,"Senior Staff","Shaleah","Eickenmeyer","1994-10-09","1993-10-09","1965-01-22"
"9999-01-01",42955,"Engineer","Yucel","Lortz","1996-02-21","1995-02-21","1965-01-12"
"9999-01-01",43154,"Senior Staff","Maha","Waterhouse","1998-07-04","1997-07-04","1965-01-13"
"9999-01-01",43848,"Engineer","Phillip","Oxenboll","2000-05-25","1999-05-26","1965-01-11"
"9999-01-01",44054,"Engineer","Alenka","Ritcey","1998-02-09","1997-02-09","1965-01-18"
"9999-01-01",43733,"Staff","Huei","Boguraev","1994-12-31","1993-12-31","1965-01-26"
"9999-01-01",43733,"Senior Staff","Huei","Boguraev","1994-12-31","1993-12-31","1965-01-26"
"9999-01-01",44265,"Engineer","Maria","Eppinger","1998-01-30","1997-01-30","1965-01-24"
"9999-01-01",44540,"Senior Engineer","Mingzeng","Sadowski","1990-11-12","1989-11-12","1965-01-16"
"9999-01-01",44900,"Staff","Mark","Schwaller","1995-08-10","1994-08-10","1965-01-05"
"9999-01-01",44900,"Senior Staff","Mark","Schwaller","1995-08-10","1994-08-10","1965-01-05"
"9999-01-01",44959,"Senior Engineer","Volkmar","Uhrik","1989-01-15","1988-01-16","1965-01-21"
"9999-01-01",44959,"Engineer","Volkmar","Uhrik","1989-01-15","1988-01-16","1965-01-21"
"9999-01-01",44962,"Assistant Engineer","Sariel","Wynblatt","1997-05-18","1996-05-18","1965-01-16"
"9999-01-01",46000,"Staff","Zhaofang","Penn","1998-07-24","1997-07-24","1965-01-26"
"9999-01-01",45162,"Senior Engineer","Dulce","Speel","1988-10-18","1987-10-19","1965-01-11"
"9999-01-01",45162,"Engineer","Dulce","Speel","1988-10-18","1987-10-19","1965-01-11"
"9999-01-01",46000,"Senior Staff","Zhaofang","Penn","1998-07-24","1997-07-24","1965-01-26"
"9999-01-01",46328,"Senior Staff","Wuxu","Trogemann","1998-01-27","1997-01-27","1965-01-05"
"9999-01-01",46943,"Senior Engineer","Pasqua","Maraist","1994-12-06","1993-12-06","1965-01-31"
"9999-01-01",46811,"Senior Engineer","Junsik","Berendt","1989-04-27","1988-04-27","1965-01-10"
"9999-01-01",46834,"Senior Staff","Tooru","Daescu","1999-03-20","1998-03-20","1965-01-22"
"9999-01-01",46943,"Engineer","Pasqua","Maraist","1994-12-06","1993-12-06","1965-01-31"
"9999-01-01",47016,"Staff","Toong","Litecky","1990-03-01","1989-03-01","1965-01-03"
"9999-01-01",47016,"Senior Staff","Toong","Litecky","1990-03-01","1989-03-01","1965-01-03"
"9999-01-01",47262,"Senior Engineer","Gonzalo","Binkley","1986-08-16","1985-08-16","1965-01-10"
"9999-01-01",47139,"Engineer","Marco","Usdin","1997-10-29","1996-10-29","1965-01-25"
"9999-01-01",47262,"Engineer","Gonzalo","Binkley","1986-08-16","1985-08-16","1965-01-10"
"9999-01-01",47515,"Senior Engineer","Naraig","Jenevein","1988-01-18","1987-01-18","1965-01-26"
"9999-01-01",47702,"Staff","Juyoung","Vieri","1992-08-11","1991-08-12","1965-01-21"
"9999-01-01",47702,"Senior Staff","Juyoung","Vieri","1992-08-11","1991-08-12","1965-01-21"
"9999-01-01",47708,"Senior Staff","Edwin","Haldar","1996-07-11","1995-07-12","1965-01-05"
"9999-01-01",48275,"Staff","Sariel","Massonet","1988-11-19","1987-11-20","1965-01-29"
"9999-01-01",48275,"Senior Staff","Sariel","Massonet","1988-11-19","1987-11-20","1965-01-29"
"9999-01-01",48882,"Senior Engineer","Leen","Lamparter","1994-06-07","1993-06-07","1965-01-28"
